No,Text,URL,Kategori
1,"Turnamen bulutangkis usia muda bertajukBupati Sumedang Open 2025sedang digelar. Diharapkan bakal lahir bibit-bibit pebulutangkis top di sana. Sumedang Open 2025 digelar di GOR Tadjimalela, Sumedang, Senin (5/5/2025). PBSI Sumedang membagi pertandingan ke tiga kategori, yakni tunggal usia dini hingga remaja, ganda berbagai kelompok usia, serta beregu. Ada 450 atlet muda, 55 atlet dewasa, dan 9 tim beregu pengkab/pengkot se-Jawa Barat. Turnamen sudah dimulai sejak Senin kemarin dan bakal makin sengit memasuki babak-babak akhir tiga hari ke depan. SCROLL TO CONTINUE WITH CONTENT Salah satu tamu istimewa yang datang ke turnamen itu adalah mantan pemainPersib BandungTantan Dzalikha. Meski dulunya berkarier di lapangan hijau, Tantan rupanya sangat menggemari olahraga bulutangkis. Dia melihat turnamen seperti ini punya peran penting dalam pembinaan atlet usia muda di Tanah Air. Dia berharap turnamen seperti ini bisa digelar di kota-kota lainnya. ""Sebagai mantan pemain Persib dan pecinta bulutangkis, saya sangat bangga melihat penyelenggaraan turnamen seperti ini,"" ujar Tantan saat ditemui di GOR Tadjimalela, Sumedang, Kamis (8/5). ""Semoga tidak hanya digelar di Sumedang, tapi juga menyebar ke banyak daerah lain, dan bisa menjadi agenda tahunan untuk menggali talenta-talenta terbaik,"" jelasnya. Tantan juga menyoroti antusiasme peserta yang datang dari berbagai daerah, termasuk luar Pulau Jawa. Hal dinilai menambah semangat kompetisi dan memperkaya pengalaman atlet-atlet muda. Tantan turut memberikan apresiasi kepada PBSI Sumedang yang menyelenggarakan Bupati Sumedang Open 2025 ini ""Ini salah satu contoh untuk PBSI di kota-kota lain, agar mengadakan turnamen serupa di daerahnya masing-masing. Ini penting agar kita tidak kekurangan atlet bulutangkis di masa depan,"" jelasnya. Terakhir, Tantan berharap turnamen seperti ini bisa menjadi motivasi bagi anak-anak Indonesia untuk mencintai dan menekuni olahraga bulutangkis. Tak lupa dia mendoakan kepengurusan PBSI Sumedang di bawah Indra Jayaatmaja bisa berjalan dengan baik. ""Antusiasme masyarakat sangat luar biasa. Semoga Pak Indra selalu diberikan kesehatan dan kesuksesan dalam membina bulutangkis Sumedang,"" tutup Tantan.",https://sport.detik.com/raket/d-7906512/semoga-sumedang-open-2025-lahirkan-bibit-pebulutangkis-top,Non-Sepak Bola
2,"Pebulutangkis tunggal putra IndonesiaAnthony Sinisuka Gintingmenanggapi sejumlah juniornya yang sedang naik daun. Ginting mengaku terpacu. Saat ini, Ginting masih dalam pemulihan cedera bahu yang membuatnya absen beberapa bulan ke depan. Ia bahkan telah melakukan proteksi ranking BWF agar tidak terus merosot setelah tak tampil di turnamen sejak awal April lalu. Dalam waktu yang bersamaan Alwi Farhan cs menunjukkan progres positif. Pekan ini, Alwi naik tiga tingkat pada posisi ke-30 ranking dunia. Sedangkan Mohammad Zaki Ubaidillah naik 10 anak tangga menjadi peringkat ke-67 pada pekan ini. SCROLL TO CONTINUE WITH CONTENT Perbaikan ranking diperoleh usai menunjukkan performa sip di Piala Sudirman 2025. Bersama Jonatan Christie, Alwi dan Ubed, panggilan karib Moh. Zaki Ubaidillah, bahu-membahu menyumbangkan poin bagi Indonesia dari sektor tunggal putra. ""Ya pastinya melihat progres semua yang ada dari yang Alwi, Ubed, Saut (Yohanes Marcellyno), yang sekarang ada di utama, memang sudah cukup bagus. Bagus banget malah bisa kita bilang,"" kata Ginting kepada pewarta di Pelatnas PBSI, Cipayung. ""Bukan cuma di pertandingan, tapi yang saya lihat di latihannya juga mereka ada tujuan dan semangatnya bagus juga gitu. Jadi bukan yang sekedar datang latihan, tapi memang mereka punya tujuan dan ada keinginan yang lebih juga,"" ujarnya. DiakuiAnthony Ginting, kondisi tersebut tak jarang membuatnya khawatir bakal tertinggal dari juniornya. Apalagi dengan kondisinya yang masih belum bisa bertanding. Semangatnya berkompetisi sebagai atlet pun terusik. ""Ya pasti kalau jiwa kompetitif pasti masih ada juga, cuma memang itu yang harus dibatasi juga. Ya, kayak sekarang latihan, kita main game segala macam, rasa enggak mau kalahnya ada,"" kata juara Asia 2023 itu. ""Tapi untuk saat ini (memang) harus ditahan dulu, karena takutnya karena belum boleh smes, tahunya sudah gatal mau pukul karena main game apa gimana gitu. Jadi memang ya kita tunggu-lah,"" tuturnya. Anthony Gintingdijadwalkan comeback ke turnamen pada bulan Juli mendatang. Itu pun masih dengan catatan jika proses pemulihan cederanya berjalan lancar. ",https://sport.detik.com/raket/d-7906006/alwi-ubed-dan-jiwa-kompetitif-ginting-yang-belum-bisa-main-lagi,Non-Sepak Bola
3,"Wakil Ketua Umum I PP PBSITaufik Hidayatbelum bisa memastikan kapan waktu untuk mengumumkan promosi-degradasi atlet. Selain karena momen belum tepat, promosi-degradasi juga harus dilakukan secara saksama. Taufik sempat berucap akan ada beberapa pemain yang terdegradasi usai Piala Sudirman 2025. Pernyataan itu muncul setelah capain minor atlet periode Januari hingga April. Puncaknya di All England dan Kejuaraan Asia. Dalam kedua turnamen tersebut Indonesia kehilangan tiga gelar, yang diraih pada edisi sebelumnya. Rinciannya dua gelar All England nomor tunggal putra dan ganda putra, sementara satu gelar tunggal putra di Kejuaraan Asia 2025. SCROLL TO CONTINUE WITH CONTENT Kini, Piala Sudirman telah rampung 4 Mei 2025 dengan menghasilkan China sebagai juaranya. Adapun Indonesia memperbaiki torehannya dengan menembus semifinal dan membawa pulang medali perunggu. Hasil tahun ini lebih baik dari edisi sebelumnya di Suzhou. Ketika itu tim Merah Putih tersingkir di perempatfinal dan pulang tanpa medali. Lantas bagaimana kelanjutan rencana PP PBSI terkait dengan promosi-degradasi pemain di pelatnas usai berakhirnya Piala Sudirman 2025? ""Pulang saja masih kapan. Capek kali, kasihan, dalam sehari dua hari seminggu dua minggu masih dalam habis Sudirman. Nanti pasti dikabari. Kalau di-push kapan, kapan, Tuhan-lah yang tahu. Enggak bisa di-push begitu juga. Kasihan itu,"" kata Taufik saat ditemui di Media Center Kemenpora, Kamis (8/5/2025). ""Maksudnya berita bulutangkis sekarang lagi lumayan prestasinya, jangan jadi diperkeruh sama yang lain. Kalau memang itu ada, iya ada, kalau tanya kapan pasti dikabari. Kalau nge-push tiap hari jawabannya nanti. Kalau ditanya sekarang 'kapan?' pastinya tak ada yang tahu pasti juga. Coba saja tanya dalam PBSI, pasti belum ada,"" tuturnya. Taufik, yang juga merupakan Wamenpora ini, menjelaskan bahwa keputusan untuk melakukan promosi-degradasi tidak semudah itu dan harus diperhatikan benar rekornya secara saksama. Selain itu, ia juga tak ingin pertanyaan-pertanyaan soal degradasi jadi mengganggu atlet yang saat ini sedang bertanding. Sebagian atlet-atlet RI saat ini berada di Taiwan untuk mengikuti Taipei Open hingga 11 Mei mendatang. ""Ini kan lagi ada pertandingan di Taiwan, atletnya yang mana, hasilnya seperti apa. Ini masih ada pertandingan terus dan jangan sampai mengganggu mereka yang lagi bertanding dan jangan sampai mengganggu mereka yang sedang latihan juga. Begitu ada kabar pasti akan dikasih tahu,"" ucap Taufik. Sementara itu, Taufik Hidayat juga mengakui belum mendapat info terkait mundurnya Chico Aura Dwi Wardoyo dari Pelatnas PBSI. Informasi mengenai mundurnya saudara Ester Nurumi Tri Wardoyo itu dari Pelatnas tengah ramai di media sosial. Padahal jika menilik jadwal, Chico masih terdaftar di Thailand Open 2025 pada 13-18 Mei mendatang. ""Chico belum dapat info, nanti kalau sudah dapat info saya kabari, karena sampai detik ini saya belum dapat kabar. Belum (ngobrol dengan Chico). Ke saya langsung belum. Nanti saya kroscek hari ini,"" ujarTaufik Hidayat. ",https://sport.detik.com/raket/d-7905795/taufik-hidayat-kasih-info-terbaru-soal-promosi-degradasi-pelatnas-pbsi,Non-Sepak Bola
4,"Pebulutangkis ganda putra RIFajar Alfianmematok target maksimal diIndonesia Open 2025. BersamaMuhammad Rian Ardianto, dia akan mengupayakan untuk selalu memenangi pertandingan di turnamen Super 1000 tersebut. Fajar/Rian akan saling bahu membahu bersama ganda putra lainnya untuk bisa menyumbangkan gelar bagi Indonesia di dalam turnamen tersebut. Kali terakhir ganda putra RI juara di Indonesia Open adalah pada tahun 2021 lewat Marcus Fernaldi Gideon/Kevin Sanjaya Sukamuljo. Setelah itu belum ada lagi torehan juara dari Indonesia dalam tiga edisi yaitu 2022, 2023, 2024. SCROLL TO CONTINUE WITH CONTENT Tahun lalu Fajar/Rian tersingkir di babak pertama Indonesia Open. Mereka disingkirkan kompatriotnya, Leo Rolly Carnando/Daniel Marthin, 14-21, 17-21. Prestasi terbaik mereka adalah menembus semifinal pada Indonesia Open 2018. ""Kalau bicara masalah target semua pemain ingin yang terbaik yaitu juara. Saya dan Rian di Indonesia Open baru mencapai semifinal paling bagus, jadi ada target sendiri mau yang terbaik meskipun tak mudah,"" kataFajardalam keterangannya di Pelatnas PBSI, Cipayung, Rabu (7/5/2025). ""Karena ganda putra itu merata. Kami ingin target maksimal kenyataan kita yang berusaha dan tim utk mencapai babak semaksimal mungkin. ""Saya pribadi dengan harga tiket murah saya mengharapkan badminton lovers bisa mendukung atlet dan memenuhi tribune atlet karena itu memengaruhi mental atlet. Yang pasti semua atlet ingin menang dan juara dan kami akan usaha untuk menang,"" ujar juara All England 2023 dan 2024 itu. Indonesia Open 2025akan diselenggarakan pada 3-8 Juni di Istora Gelora Bung Karno (GBK). Turnamen ini merupakan ajang bulutangkis dalam kategori BWF World Tour Super 1000 dengan menyediakan hadiah total 1,45 juta dolar AS. ",https://sport.detik.com/raket/d-7904470/target-maksimal-fajar-alfian-di-indonesia-open-2025,Non-Sepak Bola
5,"Indonesia Open 2025yang akan diselenggarakan pada 3-8 Juni di Istora Gelora Bung Karno (GBK) akan segera digeber. Berikut daftar harga tiket yang ditawarkan. Turnamen Indonesia Open 2025 merupakan ajang yang masuk dalam kategori HSBC BWF World Tour Super 1000 dengan menyediakan hadiah total 1,45 juta dolar AS. Selain perang bintang yang tersaji, panitia pelaksana sudah menyiapkan beberapa pembaruan untuk menambah daya tarik ajang Indonesia Open 2025. Salg satunya harga yang menurun dari edisi sebelumnya. SCROLL TO CONTINUE WITH CONTENT Menilik edisi 2024, tiket presale dijual dengan harga termurah Rp 150 ribu, sedangkan harga normal Rp 175 ribu dan akan terus meningkat hingga sampai babak final dengan harga presale Rp 1,9 juta, sementara harga normal Rp 2,15 juta. Nah, tahun ini ada penurunan harga yang juga diharapkan membuat badminton lover kian antusias menyaksikan secara langsung pertandingan bulutangkis Indonesia Open 2025, sekaligus mendukung para idolanya di lapangan Istora GBK. Tiket Indonesia Open 2025 dibanderol mulai dari Rp 50 ribu di babak pertama hingga termahal Rp 1 juta untuk babak final. ""Kami menyesuaikan harga tiket yang menjadikanIndonesia Open 2025sebagai turnamen Super 1000 termurah dibandingkan turnamen selevel lainnya di dunia. Tapi kami memastikan kualitas penyelenggaraan akan tetap meningkat,"" kata Armand dalam keterangannya di Pelatnas PBSI, Cipayung, Rabu (7/5).  'Lihat juga video: Tiket Indonesia Open Habis, Panitia Siapkan Tiket Tambahan Offline' [Gambas:Video 20detik] ",https://sport.detik.com/raket/d-7903675/harga-tiket-indonesia-open-2025-di-istora-mulai-dari-rp-50-ribu,Non-Sepak Bola
6,"Pengurus Kabupaten (Pengkab) PBSI Sumedangbaru saja menggelar Kejuaraan BupatiSumedang Open 2025. Ini jadi cara PBSI Sumedang ikut menjaga regenerasi atlet. Sumedang Open 2025 digelar di GOR Tadjimalela, Sumedang, Senin (5/5/2025). PBSI Sumedang membagi pertandingan ke tiga kategori, yakni tunggal usia dini hingga remaja, ganda berbagai kelompok usia, serta beregu. Ada 450 atlet muda, 55 atlet dewasa, dan 9 tim beregu pengkab/pengkot se-Jawa Barat. Kementerian Pemuda dan Olahraga (Kemenpora) turut hadir dalam acara pembukaan SCROLL TO CONTINUE WITH CONTENT Kepala Bagian Protokol dan Tata Usaha Pimpinan Kemenpora, Indra Jayaatmaja, yang hadir mewakili Kemenpora mengapresiasi inisiatif Pemerintah Kabupaten Sumedang dalam mendukung pembinaan olahraga melalui ajang tersebut. ""Atas nama Kemenpora, kami menyampaikan apresiasi kepada Bupati Sumedang yang telah menyelenggarakan Kejuaraan Bulutangkis Bupati Sumedang Open 2025,"" ujar Indra dalam rilis kepadadetikSport. ""Ini adalah langkah positif dalam menciptakan ruang kompetisi dan pembinaan bagi atlet-atlet muda,"" sambung Indra. Dia menegaskan pentingnya sinergi antara pemerintah daerah dan cabang olahraga dalam upaya melahirkan bibit-bibit atlet potensial. ""Kerja sama antara pemerintah daerah dan cabang olahraga serta dunia usaha sangat penting untuk menunjang peningkatan prestasi dan melahirkan atlet berprestasi,"" katanya. Indra juga berharap kejuaraan ini akan melahirkan atlet-atlet muda yang dapat diproyeksikan masuk tim nasional dan mampu bersaing di tingkat lebih tinggi. ""Regenerasi harus dilakukan secara berkelanjutan agar estafet kelahiran atlet berbakat terus berjalan. Kemenpora memiliki tanggung jawab untuk memotivasi daerah-daerah lain agar turut menggelar even serupa,"" tutup Indra.",https://sport.detik.com/raket/d-7902974/pbsi-sumedang-gelar-turnamen-demi-regenerasi-atlet,Non-Sepak Bola
7,"Sebanyak 553 atlet muda resmi bertanding di kejuaraan Sirkuit Nasional (Sirnas) Bulutangkis B Makassar 2025. Sebagai tuan rumah, Sulsel menyumbang 200 atlet berlaga di ajang ini. Kejuaraan Sirnas B Makassar resmi dimulai usai acara pembukaan di GOR Badminton Poltekkes, Jalan Bendungan Bili-bili, Makassar, Senin (5/5/2025). Ketua Pengprov Persatuan Bulutangkis Seluruh Indonesia (PBSI) Sulsel, Devy Khaddafi mengungkapkan atlet Sulsel yang belaga di ajang ini mencapai 200 atlet dari 24 kabupaten/kota. ""Kalau pesertanya dari Sulawesi Selatan yang atlet muda menggunakan id Sulsel kurang lebih hampir 200 atlet dan selebihnya dari luar,"" ujarnya kepada wartawan, Senin (5/5). SCROLL TO CONTINUE WITH CONTENT Dia mengakui pembinaan atlet bulutangkis muda di Sulsel makin berkembang. Devo sapaannya, berharap ajang ini bisa memacu semangat pembinaan atlet di daerah-daerah. ""Hampir 24 kabupaten kota semua ada perwakilannya dan ini kita syukuri pembinaan di kabupaten/kota di Sulsel berjalan dengan baik,"" katanya. ""Kita harapkan ke depan dengan masih banyaknya kejuaraan yang akan kita buat, pembinaan makin baik lagi di daerah,"" tambahnya. Sementara total peserta yang ikut ajang ini yakni 553 peserta dari 23 provinsi. Jumlah ini meningkat signifikan dibanding kejuaraan Sirnas B Sulsel 2023 lalu. ""Ini peningkatan dari 2 tahun lalu pesertanya cuma 473 sekarang 553 jadi ada peningkatan yang cukup signifikan,"" katanya. Dia berharap jumlah peserta di ajang berikutnya makin bertambah seiring berkembangnya pembibitan atlet muda. Devo menyebut ajang ini bisa menciptakan atlet bulutangkis muda berprestasi. ""Kita berharap ke depannya makin besar, target kami untuk Sirnas berikutnya bisa sampai 700 peserta supaya lebih banyak bibit muda yang muncul dari Sirnas ini,"" jelasnya. ""Karena kita lihat kemarin di Sudirman Cup bagaimana atlet muda kita seperti Alwi, Uber, Putri, itu mampu menunjukkan persaingan dengan atlet yang dari luar negeri yang jauh lebih senior. Ini yang akan kita dorong,"" tambahnya. Sementara itu, Kabid Turnamen PBSI Herman Subarjah yang hadir di acara pembukaan memuji antusias tinggi peserta Sirnas Makassar 2025 ini. Pihaknya juga menilai Makassar sebagai daerah dengan GOR Badminton yang representatif untuk ajang nasional hingga internasional. ""Alhamdulillah peserta ada 553 pertandingan merupakan kejuaraan yang cukup antusias, di atas 500 seusai target kami dan kebetulan di Makassar ada gedung bulu tangkis yang sangat representatif untuk kejuaraan nasional maupun internasional,"" jelasnya. Dia juga berharap Sirnas B Makassar ini jadi ajang talenta muda dari usia dini hingga under 15 tahun (U-15) unjuk gigi. Apalagi potensi bibit atlet muda dari luar Jawa sangat potensial. ""Mudah-mudahan ini bisa menjadi cikal bakal atlet berprestasi di masa yang akan datang. Pembinaan di daerah sekarang ini lebih banyak di usia dini hingga remaja,"" pungkasnya.",https://www.detik.com/sulsel/berita/d-7899725/misi-pbsi-sulsel-gali-potensi-bulutangkis-lewat-sirnas-b-makassar-2025,Non-Sepak Bola
8,"ChinamenjuaraiPiala Sudirman 2025berkat kemenangan melawanKorea Selatan. China berjaya dengan skor 3-1 di final. Dalam pertandingan final di Xiamen Fenghuang Gymnasium, China, Minggu (4/5/2025), tuan rumah memimpin lebih dulu lewat pasangan ganda campurannya. Feng Yan Zhe/Huang Dong Ping berhasil meraih poin pertama China setelah mengalahkan Seo Seung Jae/Chae Yu Jung dalam partai rubber game selama 84 menit, 21-16, 17-21, 21-15. SCROLL TO CONTINUE WITH CONTENT Di partai kedua China vs Korsel, tuan rumah kehilangan poin. Korea berhasil menyamakan kedudukan menjadi 1-1 berkat kemenangan tunggal putrinya, An Se Young, yang menundukkan Wang Zhi Yi dengan skor 21-17, 21-16. Keunggulan kembali jadi milik China berkat kemenangan di partai ketiga, yang menghadapkan tunggal putra. Shi Yu Qi dengan mulus mengatasi Jeon Hyeok Jin dengan kemenangan 21-5, 21-5. Pada partai keempat, giliran pasangan ganda putri yang saling berhadapan: Liu Sheng Shu/Tan Ning vs Baek Ha Na/Lee So Hee. Hasilnya, China memastikan kemenangan atas Korsel di finalPiala Sudirman 2025berkat kemenangan pemainnya itu dengan skor 21-14, 21-17. Hasil finalPiala Sudirman 2025ini menegaskan dominasi Negeri Tirai Bambu di ajang bulutangkis beregu tersebut. Total sudah 14 kali China menjuarai Sudirman Cup, sejak ajang tersebut pertama kali digelar tahun 1989. Sebelum raihan teranyarnya ini, China juga sudah menjadi satu-satunya negara yang punya koleksi gelar juara sebanyak dua digit di Piala Sudirman. Dua negara lain yang juga pernah juara di ajang ini adalah Korsel (4 kali) dan Indonesia (1 kali). ",https://sport.detik.com/raket/d-7899093/hasil-final-piala-sudirman-2025-china-juara-usai-kalahkan-korsel,Non-Sepak Bola
9,"Tim bulutangkis Indonesia akan menghadapi Korea Selatan di semifinal Piala Sudirman 2025. Laga berlangsung Sabtu (3/5) sore. Dikutip daridetikSport, pertandingan antara Indonesia dan Korea di semifinal Piala Sudirman 2025 akan digelar pada Sabtu (3/5/2025) sore WIB. Rangkaian pertandingan akan dimulai pada pukul 16.00 WIB. Indonesia lolos ke semifinal usai menyingkirkan Thailand di perempatfinal. Dalam pertandingan perempatfinal di Fenghuang Gymnasium, Xiamen, China, Jumat (2/5), Jonatan Christie dkk menang 3-1 atas Thailand. SCROLL TO CONTINUE WITH CONTENT Indonesia sempat tertinggal lebih dulu dari Thailand usai Rinov Rivaldy/Gloria Emanuelle Widjaja yang turun di partai pertama gagal menyumbang poin. Namun, Indonesia kemudian merebut tiga partai berikutnya di nomor tunggal putri, tunggal putra, dan ganda putri. Sementara itu Korea Selatan melangkah ke semifinal setelah menyisihkan Denmark dengan skor 3-1. Jadwal semifinal lainnya, pada sesi pertama akan digelar laga antara China dan Jepang, Sabtu (3/5) pagi. Pertandingan ini dimulai pada pukul 08.30 WIB. China lolos ke semifinal setelah menang 3-0 atas Malaysia di perempatfinal. Sementara Jepang menyingkirkan Chinese Taipei.",https://www.detik.com/jogja/berita/d-7897761/jadwal-semifinal-piala-sudirman-2025-indonesia-vs-korea,Non-Sepak Bola
10,"Tim bulutangkis Indonesia akan menghadapi Korea Selatan di semifinalPiala Sudirman 2025hari ini, Sabtu (3/5). Laga ini akan digelar di sesi kedua pada sore hari. Indonesia lolos ke semifinal Piala Sudirman 2025 usai menyingkirkan Thailand di perempatfinal. Dalam pertandingan perempatfinal di Fenghuang Gymnasium, Xiamen, China, Jumat (2//5/2025), Jonatan Christie dkk. menang 3-1 atas Thailand. Indonesia sempat tertinggal lebih dulu dari Thailand usai Rinov Rivaldy/Gloria Emanuelle Widjaja yang turun di partai pertama gagal menyumbang poin. Namun, Indonesia kemudian merebut tiga partai berikutnya di nomor tunggal putri, tunggal putra, dan ganda putri. SCROLL TO CONTINUE WITH CONTENT Korea Selatan akan menjadi lawan Indonesia di babak semifinal Piala Sudirman 2025. Korea melangkah ke babak empat besar setelah menyisihkan Denmark dengan skor 3-1.  Pertandingan antara Indonesia dan Korea di semifinal Piala Sudirman 2025 akan digelar pada Sabtu (3/5/2025) sore WIB. Rangkaian pertandingan akan dimulai pada pukul 16.00 WIB. Sementara itu pada sesi pertama akan digelar laga semifinal lainnya antara China dan Jepang. Pertandingan ini akan dimulai pada pukul 08.30 WIB. China lolos ke semifinal setelah menang meyakinkan 3-0 atas Malaysia di perempatfinal. Sementara Jepang menyingkirkan Chinese Taipei. 08.30 WIB China vs Jepang 16.00 WIB Indonesia vs Korea Selatan ",https://sport.detik.com/raket/d-7897012/jadwal-piala-sudirman-2025-indonesia-vs-korea-sore-ini,Non-Sepak Bola
